feature,importance_mean_rmse_increase,importance_std
time_to_complete,0.6964066787040785,0.023209960985462776
_parsed_page,0.1830119545363866,0.013554951202007687
lessons_count,0.1806269806069702,0.016962908288080558
title_len,0.1760830561519959,0.01008231788090982
price_numeric,0.05631576648835164,0.00624719859081173
title_word_count,0.05256916898290653,0.006618073654360511
is_paid,0.03973151213137112,0.016126835137146994
summary_len,0.02782316423390798,0.002138174965537655
description_word_count,0.026833742884398305,0.0027044146992404577
lesson_steps_count,0.023809645660156087,0.002781006468144977
created_month,0.013301195524429387,0.0011114001275287135
has_certificate,0.01328077145792943,0.0005243485969484585
section_position,0.00943131092676286,0.0006046979116932697
step_type,0.003161917107708234,0.00045798775289157274
lesson_title_len,0.0023860117106805356,0.0004943169077305401
step_has_video,0.0020235867986188706,0.00014366496437656
unit_position_in_section,0.0006809700523955575,0.0003751032108873985
reviews_count,0.0,0.0
rating,0.0,0.0
tags_count,0.0,0.0
sections_count,0.0,0.0
is_public,0.0,0.0
submissions_count,0.0,0.0
authors_count,0.0,0.0
certificate_thresholds_count,0.0,0.0
is_featured,0.0,0.0
is_archived,0.0,0.0
unit_progress_weight,0.0,0.0
videos_duration,0.0,0.0
step_cost,0.0,0.0
has_price_info,0.0,0.0
instructors_count,0.0,0.0
created_year,0.0,0.0
requirements_count,0.0,0.0
step_position_in_lesson,-0.00021861970161882738,2.550750707212941e-05
lesson_title_word_count,-0.0006301408166532685,0.00023042148411147288
language,-0.0009771650378705532,0.0006022712306009974
section_units_count,-0.006481403103467942,0.0009801701036286344
description_len,-0.021712304375657097,0.0045234405063657845
